,Year,Month,Day,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation_m,Type,Eruption,VEI,Agent,Deaths,DeathDescription,Missing,MissingDescription,Injuries,InjuriesDescription,DamageMil,DamageDescription,HousesDestroyed,HousesDestroyedDescription,TotalDeaths,TotalDeathDescription,TotalMissing,TotalMissingDescription,TotalInjuries,TotalInjuriesDescription,TotalDamageMil,TotalDamageDescription,TotalHousesDestroyed,TotalHousesDestroyedDescription,in_ring_of_fire
226,1803,7,4,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,,,1,,,,,,,,,,1,,,,,,,,,true
227,1803,11,7,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,,1,,,,,,,,,,1,,,,,,,,,true
228,1804,,,,,Shikotsu,Hokkaido-Japan,Japan,42.688,141.38,1320,Caldera,true,3,,,3,,,,,,,,,,3,,,,,,,,,true
232,1812,8,6,,,Awu,"Sangihe Is-Indonesia",Indonesia,3.689,125.447,1318,Stratovolcano,true,3,"P,M",953,3,,,,,,,,,953,3,,,,,,,,,true
234,1814,2,1,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,4,"P,M,E",1200,4,,,,,,3,,3,1200,4,,,,,,3,,3,true
236,1816,7,5,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,T,1,1,,,,,,,,,1,1,,,,,,,,,true
239,1818,2,5,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,true,4,,,1,,,,,,,,,,1,,,,,,,,,true
243,1822,3,9,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,4,P,50,1,,,53,2,,,,2,50,1,,,53,2,,,,2,true
251,1826,10,,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,T,,3,,,,,,,,,,3,,,,,,,,,true
257,1833,11,24,,,Kaba,Sumatra,Indonesia,-3.522,102.615,1940,Stratovolcano,true,2,M,126,3,,,,,,,,,126,3,,,,,,,,,true
258,1835,1,20,,,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,true,5,"G,I",,1,,,,,,,,,,1,,,,,,,,,true
260,1837,9,,706,6050,"Peuet Sague",Sumatra,Indonesia,4.903,96.289,2785,"Complex volcano",true,,,,,,,,,,,,,,,,,,,,,,,true
261,1838,2,26,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,2,T,4,1,,,,,,,,,4,1,,,,,,,,,true
263,1840,2,2,718,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,3,,,,,,,,,1,,,,,,,,,,2,500,3,true
268,1841,4,,,,Kuchinoerabujima,"Ryukyu Is",Japan,30.443,130.217,657,Stratovolcano,true,2,T,,,,,,,,2,,2,,,,,,,,2,,2,true
273,1845,2,8,741,1865,Soputan,Sulawesi-Indonesia,Indonesia,1.112,124.737,1785,Stratovolcano,true,2,,,,,,,,,,,,118,3,,,,,,2,,3,true
274,1845,2,19,,1867,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279,Stratovolcano,true,3,M,1000,3,,,,,,,,,1000,3,,,,,,,,,true
277,1846,11,18,,,Esan,Hokkaido-Japan,Japan,41.805,141.166,618,Stratovolcano,true,1,M,,3,,,,,,,,,,3,,,,,,,,,true
283,1853,7,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,P,34,1,,,,,,,,1,34,1,,,,,,,,1,true
286,1854,2,,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,2,,3,1,,,,,,,,,3,1,,,,,,,,,true
288,1856,3,2,859,1995,Awu,"Sangihe Is-Indonesia",Indonesia,3.689,125.447,1318,Stratovolcano,true,3,P,2806,4,,,,2,,3,,3,2806,4,,,,2,,3,,3,true
290,1856,9,25,,,Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131,Stratovolcano,true,4,"P,T",25,1,,,,,,,,3,25,1,,,,,,,,3,true
291,1858,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,2,P,,1,,,,,,,,,,1,,,,,,,,,true
293,1860,8,18,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,2,,,,,,,,,1,,,,,,,,,,1,,,true
296,1861,12,29,,,"Kie Besi",Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,true,4,"P,I",326,3,,,47,1,,,,3,326,3,,,47,1,,,,3,true
301,1867,10,21,,,"Zaozan [Zaosan]",Honshu-Japan,Japan,38.144,140.44,1841,"Complex volcano",true,2,M,3,1,,,,,,,,,3,1,,,,,,,,,true
306,1870,8,,,,Ruang,"Sangihe Is-Indonesia",Indonesia,2.3,125.37,725,Stratovolcano,true,2,,,1,,,,,,,40,1,,1,,,,,,,40,1,true
309,1871,3,3,1022,,Ruang,"Sangihe Is-Indonesia",Indonesia,2.3,125.37,725,Stratovolcano,true,2,W,,,,,,,,1,,1,400,3,,,,,,2,75,2,true
310,1871,4,30,1020,2179,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,true,2,,,1,,,,,,3,,3,,1,,,,,,3,,3,true
311,1871,8,7,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,true,2,T,1,1,,,1,1,,,,,1,1,,,1,1,,,,,true
312,1871,12,8,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,P,3,1,,,,,,,,,3,1,,,,,,,,,true
317,1872,12,,,,Asosan,Kyushu-Japan,Japan,32.885,131.085,1592,Caldera,true,3,T,4,1,,,,,,,,,4,1,,,,,,,,,true
319,1873,1,16,,,Ragang,Mindanao-Philippines,Philippines,7.691,124.507,2790,Stratovolcano,true,2,,,1,,,,,,,,,,1,,,,,,,,,true
321,1874,7,3,,,Miyakejima,"Izu Is-Japan",Japan,34.094,139.526,775,Stratovolcano,true,3,T,1,1,,,,,,,45,1,1,1,,,,,,,45,1,true
322,1874,7,19,,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,2,,,1,,,,,,,,,,1,,,,,,,,,true
324,1875,,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,,m,1500,4,,,,,,,,,1500,4,,,,,,,,,true
326,1877,6,25,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,true,4,M,340,3,,,,,,,,,340,3,,,,,,,,,true
334,1883,10,6,1143,,Augustine,Alaska-SW,"United States",59.363,-153.435,1218,"Lava dome",true,4,,8,1,,,,,,,,,8,1,,,,,,1,,1,true
339,1885,5,25,,2347,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,true,3,,,2,,,,,,2,,2,,2,,,,,,2,,2,true
340,1886,1,11,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,4,P,2,1,,,,,,,,,2,1,,,,,,,,,true
343,1887,3,9,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,T,15,1,,,,,,1,,1,15,1,,,,,,1,,1,true
345,1888,7,15,,,Bandaisan,Honshu-Japan,Japan,37.601,140.072,1816,Stratovolcano,true,4,"A,P",461,3,,,70,2,,2,,2,461,3,,,70,2,,2,,2,true
346,1889,9,6,1181,6309,"Banua Wuhu","Sangihe Is-Indonesia",Indonesia,3.138,125.491,-5,"Submarine volcano",true,2,,,,,,,,,,,,,,,,,,,2,,2,true
347,1890,6,29,,,"Kie Besi",Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,true,2,,,,,,,,,3,,3,,,,,,,,3,,3,true
349,1892,5,21,,,Sorikmarapi,Sumatra,Indonesia,0.686,99.539,2145,Stratovolcano,true,2,M,180,3,,,,,,,,,180,3,,,,,,,,,true
350,1892,6,7,1197,,Awu,"Sangihe Is-Indonesia",Indonesia,3.689,125.447,1318,Stratovolcano,true,3,"P,M",1532,4,,,,,,3,,3,1532,4,,,,,,3,,3,true
352,1893,1,7,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,true,4,,,,,,,,,1,,,,,,,,,,1,,,true
353,1893,6,7,,,Azumayama,Honshu-Japan,Japan,37.735,140.244,1949,Stratovolcano,true,2,T,2,1,,,,,,,,,2,1,,,,,,,,,true
357,1895,10,16,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,2,T,4,1,,,,,,,,,4,1,,,,,,,,,true
359,1896,3,15,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,2,T,1,1,,,1,1,,,,,1,1,,,1,1,,,,,true
361,1897,5,23,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,true,3,"P,T,M",350,3,,,,,,,,,350,3,,,,,,,,,true
362,1899,11,13,,,"Dona Juana",Colombia,Colombia,1.5,-76.936,4137,Stratovolcano,true,4,P,55,2,,,,,,,,,55,2,,,,,,,,,true
364,1900,1,22,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,,25,1,,,,,,,,,25,1,,,,,,,,,true
365,1900,2,16,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,2,,2,1,,,3,1,,,,,2,1,,,3,1,,,,,true
366,1900,7,17,,,Adatarayama,Honshu-Japan,Japan,37.647,140.281,1728,Stratovolcano,true,2,T,72,2,,,10,1,,,,,72,2,,,10,1,,,,,true
376,1902,8,7,,,Izu-Torishima,"Izu Is-Japan",Japan,30.484,140.303,394,Stratovolcano,true,3,,125,3,,,,,,,,,125,3,,,,,,,,,true
378,1902,10,25,,,"Santa Maria",Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,true,6,"T,G",2500,4,,,,,,2,,2,10000,4,,,,,,2,,2,true
398,1910,7,25,,,Toya,Hokkaido-Japan,Japan,42.544,140.839,733,Stratovolcano,true,2,M,1,1,,,,,,,,,1,1,,,,,,,,,true
399,1911,1,30,1392,8391,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,3,"P,W",1335,4,,,199,3,,3,543,3,1335,4,,,199,3,,3,543,3,true
400,1911,5,8,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,1,1,,,2,1,,,60,2,1,1,,,2,1,,,60,2,true
401,1911,8,15,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,2,T,2,1,,,36,1,,,,,2,1,,,36,1,,,,,true
404,1912,9,6,,,Novarupta,"Alaska Peninsula","United States",58.266,-155.159,841,Caldera,true,6,T,2,1,,,,,,,,,2,1,,,,,,,,,true
406,1913,1,20,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,true,4,"P,m",13,1,,,,,,,,,13,1,,,,,,,,,true
407,1913,3,14,1407,2973,Awu,"Sangihe Is-Indonesia",Indonesia,3.689,125.447,1318,Stratovolcano,true,2,,,,,,,,,,,,138,3,,,,2,,2,,3,true
408,1913,5,29,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,"Complex volcano",true,1,T,1,1,,,1,1,,,,,1,1,,,1,1,,,,,true
411,1914,1,12,1412,2994,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,true,4,"I,S,A,T",28,1,,,,3,0.04,1,2148,4,63,2,,,112,3,19.0,3,2268,4,true
414,1915,6,19,5972,,Myojinsho,"Izu Is-Japan",Japan,31.888,139.918,11,"Submarine volcano",true,0,W,,,,,,,,,,,,,,,,,,,,,true
415,1916,3,3,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,true,4,,,,,,,,,,,,,,,,,,,,,,true
419,1917,4,,,,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,true,3,,,,,,,,,,,,,,,,,,,,,,true
420,1917,6,7,,6877,"San Salvador","El Salvador","El Salvador",13.734,-89.294,1893,Stratovolcano,true,3,"S,L",325,3,,,,,,,,,325,3,,,,,,,,,true
421,1918,7,18,1454,,"Banua Wuhu","Sangihe Is-Indonesia",Indonesia,3.138,125.491,-5,"Submarine volcano",true,3,,,,,,,,,,,,,,,,,,,,,,true
423,1919,2,19,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,true,1,A,,2,,,,,,,,,,2,,,,,,,,,true
424,1919,4,3,3511,,"Banua Wuhu","Sangihe Is-Indonesia",Indonesia,3.138,125.491,-5,"Submarine volcano",true,3,,,,,,,,,1,,1,,,,,,,,1,,1,true
429,1920,10,29,,,Izalco,"El Salvador","El Salvador",13.813,-89.633,1950,Stratovolcano,true,3,P,,1,,,,,,,,,,1,,,,,,,,,true
430,1923,3,2,5720,10435,"Cendres, Ile des","SE Asia",Vietnam,10.158,109.014,-20,"Submarine volcanoes",true,2,L,,,,,,,,,,,,,,,,,,1,,,true
431,1923,7,1,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,"Shield volcano",true,2,,1,1,,,,,,,,,1,1,,,,,,,,,true
435,1926,5,24,,,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,true,3,"M,T",144,3,,,207,3,,,5080,4,144,3,,,207,3,,,5080,4,true
